"ID","Title","Content","Category","MediaURL"
"Page_01","Σελίδα 1","ΙΝΣΤΙΤΟΥΤΟ 
ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ 
ΚΑΙ ΕΚ∆ΟΣΕΩΝ 
«∆ΙΟΦΑΝΤΟΣ»
ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙ∆ΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ
ΥΠΟΥΡΓΕΙΟ ΠΑΙ∆ΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ
Θρησκευτικά
Χριστιανισµός 
και σύγχρονος κόσµος
Γ΄ΛΥΚΕΙΟΥ","Γ Λυκείου",""
"Page_02","Σελίδα 2","Θρησκευτικά Γ΄ Λυκείου
Χριστιανισμός και σύγχρονος κόσμος","Γ Λυκείου",""
"Page_03","Σελίδα 3","Βιβλίο μαθητή στα
Θρησκευτικά Γ΄ Λυκείου
Χριστιανισμός και σύγχρονος κόσμος
Το βιβλίο μαθητή για τη διδασκαλία του μαθήματος των Θρησκευτικών της Γ’ Λυκείου βασίστηκε στο
Προσωρινό Έντυπο Υλικό, «Φάκελος Μαθήματος», Θρησκεία και Σύγχρονος κόσμος, που επιμελήθηκαν
οι Κ. Τριανταφυλλίδου και Εμμ. Παπαϊωάννου, και σύγχρονα δημοσιευμένα γραπτά και πολυτροπικά
κείμενα. 
Δημιουργήθηκε με την ευθύνη της άμισθης Επταμελούς Επιστημονικής Επιτροπής, η οποία συγκρο­
τήθηκε από το ΙΕΠ στις 19/12/2019 με σκοπό:
Α) Την εισήγηση για την πλήρη συμμόρφωση των Προγραμμάτων Σπουδών του μαθήματος των Θρη­
σκευτικών με τις αποφάσεις του Σ.τ.Ε., για το χρονικό διάστημα που θα απαιτηθεί μέχρι τη συγ­
γραφή και εφαρμογή των νέων Προγραμμάτων Σπουδών, καθώς και του αντιστοίχου διδακτικού
υλικού για το μάθημα των Θρησκευτικών.
Β) Την εισήγηση σχετικά με τους τρόπους και τις μεθόδους εφαρμογής των αποφάσεων του Σ.τ.Ε., του
ΕΔΔΑ και της ΑΠΔΠΧ, όσον αφορά στις υπόλοιπες πτυχές των αποφάσεων αυτών που συνδέονται
με το μάθημα των Θρησκευτικών, με έμφαση στη διατήρηση της υποχρεωτικότητας του μαθήματος
και στη διαδικασία απαλλαγής των μαθητών/ μαθητριών.
Την ευθύνη για την επιμέλεια του παρόντος βιβλίου είχε ως μέλος της επιτροπής ο Μάριος Κουκου­
νάρας Λιάγκης.
Εικονογράφηση εξώφυλλου και οπισθόφυλλου: Communion of Saints Acrylic Print, Canvas, by Elise Ritter.
Γραφιστική επιμέλεια εξωφύλλου Γιάννης Σπίνος, αποσπασμένος εκπαιδευτικός στο ΙΕΠ.
Εικονογράφηση εισαγωγικής σελίδας ΘΕ: Σοφία Παπαθανάση­Βγόντζα.","Γ Λυκείου",""
"Page_04","Σελίδα 4","ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ 
ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ
ΘΡΗΣΚΕΥΤΙΚΑ Γ΄ ΛΥΚΕΙΟΥ
Χριστιανισμός και σύγχρονος κόσμος
ΙΝΣΤΙΤΟΥΤΟ ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ «ΔΙΟΦΑΝΤΟΣ» 
ΑΘΗΝΑ","Γ Λυκείου",""
"Page_05","Σελίδα 5","4
Θρησκευτικά Γ΄ Λυκείου
Χριστιανισμός και σύγχρονος κόσμος
Το βιβλίο αυτό αποτελεί βιβλίο εργασίας
του μαθητή/της μαθήτριας στο πλαίσιο
του μαθήματος των Θρησκευτικών. Οι
πηγές –κείμενα και εικόνες– αποτελούν
αφορμήσεις για ποικίλες συμμετοχικές
δραστηριότητες, προβληματισμούς και
συζητήσεις, αλλά και οδοδείκτες για την
ερμηνεία, κατανόηση και αποκωδικοποί­
ηση της σχέσης Χριστιανισμού και σύγχρο­
νου κόσμου. Ελπίζουμε και ευχόμαστε το
μάθημα να ενθαρρύνει την ανάληψη προ­
σωπικής ευθύνης, τον σεβασμό και την
αλληλεγγύη.","Γ Λυκείου",""
"Page_06","Σελίδα 6","ΠΕΡΙΕΧΟΜΕΝΑ
5
1. ΟΙ ΘΕΣΕΙΣ ΤΟΥ ΧΡΙΣΤΙΑΝΙΣΜΟΥ ΣΤΑ ΕΡΩΤΗΜΑΤΑ ΤΗΣ ΕΠΙΣΤΗΜΗΣ
1.1 Επιστήμη και θρησκεία                                                                          
7
1.2 Ηθική της τεχνολογίας                                                                            10
1.3 Εφαρμογές της Γενετικής                                                                       14
1.4 Οικο­θεολογία                                                                                          19
2. Ο ΧΡΙΣΤΙΑΝΙΣΜΟΣ ΑΠΕΝΑΝΤΙ ΣΤΙΣ ΠΡΟΚΛΗΣΕΙΣ ΤΗΣ ΕΠΟΧΗΣ
2.1 Πλούτος και φτώχεια                                                                              25
2.2 Η ηθική της εργασίας                                                                             31
2.3 Η μοναξιά του ανθρώπου                                                                      36
2.4 Η επανάσταση του Χριστιανισμού                                                       39
3. ΤΟ ΧΡΙΣΤΙΑΝΙΚΟ ΟΡΑΜΑ ΓΙΑ ΤΟΝ ΚΟΣΜΟ ΜΑΣ
3.1 Το όραμα της ειρήνης                                                                             47
3.2 Η ευθύνη για τη δικαιοσύνη                                                                 52
3.3 Η κατάκτηση της ευτυχίας                                                                     58
3.4 Η ελπίδα για τη μεταμόρφωση του κόσμου                                      62","Γ Λυκείου",""
"Page_07","Σελίδα 7","6
• Επιστήμη και θρησκεία
• Ηθική της τεχνολογίας
• Εφαρμογές της Γενετικής
• Οικο­θεολογία
1. ΟΙ ΘΕΣΕΙΣ ΤΟΥ ΧΡΙΣΤΙΑΝΙΣΜΟΥ ΣΤΑ ΕΡΩΤΗΜΑΤΑ
ΤΗΣ ΕΠΙΣΤΗΜΗΣ","Γ Λυκείου",""
"Page_08","Σελίδα 8","Η αξία της επιστήμης στη σύγχρονη σκέψη
Ας συζητήσουμε το θέμα: «Πώς θα ήταν ο κόσμος χωρίς την ιατρική και τις ανακαλύψεις της;».
Η θέση της επιστήμης και της Ορθόδοξης θεολογίας στην κατανόηση του κόσμου
Ας διαβάσουμε ο καθένας και η καθεμία από εμάς το παρακάτω κείμενο και με αφορμή αυτό ας γρά­
ψουμε μία σκέψη. Σκοπός είναι να μοιραστούμε τις απόψεις μας, συζητώντας σχετικά με το πώς κατα­
νοούν τον κόσμο η επιστήμη και η πίστη αντίστοιχα.
Επιστήμη και θρησκεία
[…] Λένε ότι η επιστήμη τα καταφέρνει όλα, ότι δεν υπάρχει στην φύση μυστικό που η επιστήμη
δεν μπορεί να ανακαλύψει. Εμείς τι μπορούμε να απαντήσουμε σ’ αυτά;
Θα τους απαντήσουμε το εξής:  Έχετε απόλυτο δίκαιο. Δεν μπορούμε να περιορίσουμε την αν­
θρώπινη διάνοια που ερευνά την φύση. Ξέρουμε ότι σήμερα η επιστήμη γνωρίζει μόνον ένα μέρος
απ’ αυτά που θα έπρεπε εμείς να ξέρουμε για την φύση. Γνωρίζουμε επίσης ότι οι δυνατότητες της
επιστήμης είναι μεγάλες. Σ’ αυτό έχουν δίκαιο και δεν το αμφισβητούμε. Τι λοιπόν αμφισβητούμε
εμείς; Γιατί δεν αρνούμαστε την θρησκεία όπως το κάνουν αυτοί και δεν την θεωρούμε αντίθετη προς
την επιστημονική γνώση; Μόνο γιατί … είμαστε σίγουροι πως εκτός από τον υλικό κόσμο υπάρχει άπει­
ρος και ασύγκριτα υψηλότερος πνευματικός κόσμος… και πάνω απ’ αυτόν υπάρχει Μέγας και Παντο­
δύναμος Θεός. Αυτό που εμείς αμφισβητούμε είναι το δικαίωμα της επιστήμης να ερευνά με τις
μεθόδους της τον πνευματικό κόσμο. Διότι ο πνευματικός κόσμος δεν ερευνάται με τις μεθόδους που
ερευνούμε τον υλικό κόσμο. Οι μέθοδοι αυτές είναι εντελώς ακατάλληλες για να ερευνούμε μ’ αυτές
τον πνευματικό κόσμο.
«Από πού γνωρίζουμε ότι υπάρχει ο πνευματικός κόσμος; Ποιος μας είπε ότι υπάρχει;» Αν μας το
ρωτήσουν… θα τους απαντήσουμε το εξής: «μας το είπε η καρδιά μας». Διότι υπάρχουν δύο τρόποι για
να γνωρίσει κανείς κάτι. Ο πρώτος είναι αυτός … τον οποίο χρησιμοποιεί η επιστήμη για να γνωρίσει
τον υλικό κόσμο. Υπάρχει όμως και ένας άλλος τρόπος, που η επιστήμη δεν τον ξέρει και δεν θέλει να
τον ξέρει. Είναι η γνώση μέσω καρδιάς. Η καρδιά μας δεν είναι μόνο το κεντρικό όργανο του κυκλοφο­
ριακού συστήματος, είναι και όργανο με το οποίο γνωρίζουμε τον άλλο κόσμο και αποκτάμε την ανώτατη
γνώση. Είναι το όργανο που μας δίνει την δυνατότητα να επικοινωνούμε με τον Θεό και τον άνω κόσμο.
Σ’ αυτό μόνο εμείς διαφωνούμε με την επιστήμη. Εκτιμώντας τις μεγάλες επιτυχίες και τα κατορθώματα
της επιστήμης, καθόλου δεν αμφισβητούμε την μεγάλη της σημασία και δεν περιορίζουμε την επιστη­
μονική γνώση. Εμείς, λέμε μόνο στους επιστήμονες: «δεν έχετε εσείς την δυνατότητα με τις μεθόδους
σας να ερευνάτε τον πνευματικό κόσμο, εμείς όμως μπορούμε να το κάνουμε με την καρδιά μας».
Άγιος Λουκάς, αρχιεπ. Κριμαίας, Λόγοι και Ομιλίες
Σχέση επιστήμης και θεολογίας
Με αφορμή το παρακάτω κείμενο, ας μελετήσουμε το πώς αντιμετωπίζει η ορθόδοξη θεολογία το θέμα
της δημιουργίας του κόσμου. Αφού εντοπίσουμε τα βασικά του σημεία, θα σημειώσουμε τους προ­
βληματισμούς που τίθενται και θα συζητήσουμε σχετικά με αυτούς στην ολομέλεια.
7
1.1 ΕΠΙΣΤΗΜΗ ΚΑΙ ΘΡΗΣΚΕΙΑ","Γ Λυκείου",""
"Page_09","Σελίδα 9","Δημιουργία του κόσμου: Επιστήμη και θεολογία
Η αλήθεια του ανθρώπου συνδέεται αδιάρρηκτα με την υπόλοιπη υλική κτίση. Η αλήθεια αυτή
θεμελιώνεται στο ότι ο άνθρωπος δημιουργήθηκε από τον Θεό στο τέλος της Δημιουργίας και αφού
είχε προηγηθεί η δημιουργία του υλικού κόσμου και όλου του ζωικού βασιλείου. Είναι χαρακτηριστικό
ότι στα γνωστικά συστήματα ο άνθρωπος εμφανίζεται πριν δημιουργηθεί ο υλικός και ο ζωικός κόσμος.
Στην Αγία Γραφή συμβαίνει το αντίστροφο. Αυτό δηλώνει την εξάρτηση του ανθρώπου από όλη την
προηγουμένη δημιουργία και ιδιαίτερα από το ζωικό βασίλειο.
Η θεωρία της εξελίξεως, και εδώ άπτομαι ίσως ευαισθησιών, κανένα πρόβλημα δεν παρουσιάζει
για τη θεολογία από την άποψη αυτή. Αντίθετα είναι ευπρόσδεκτη κατά το ότι αποδεικνύει ότι ο άν­
θρωπος είναι άρρηκτα δεμένος με την υπόλοιπη υλική κτίση, καθώς και κατά το ότι η νοημοσύνη για
την οποία τόσο πολύ καυχάται και με την οποία καθυποτάσσει και εκμεταλλεύεται την υλική κτίση,
δεν αποτελεί αποκλειστικό ιδίωμα του ανθρώπου αλλά μόνο διαφορά βαθμού, όχι είδους, από τα
ζώα, όπως παρατήρησε ο Δαρβίνος. Η θεωρία της εξελίξεως στη σοβαρή και όχι στη γελοιοποιημένη
εκδοχή της, καταγωγή από τον πίθηκο κ.λπ., αναφέρεται όχι στο ποιος αλλά στο πώς δημιουργήθηκε
ο κόσμος. Και μόνο η σύγχυση των δύο αυτών ερωτημάτων, όπως συμβαίνει σε μια φονταμενταλιστική
προσέγγιση της γραφής, μπορεί να αποτελέσει απειλή για τη χριστιανική πίστη. Μια προσεκτική με­
λέτη των ομιλιών του Μ. Βασιλείου στην «Εξαήμερο» πείθει περί της εξελικτικής δημιουργίας των
ειδών. Θεολογία και βιολογία δεν έχουν λόγο να αντιδικούν στο ζήτημα αυτό.
Ιωάννης Ζηζιούλας, μητρ. Περγάμου,
Ο άνθρωπος και το περιβάλλον: Ορθόδοξη θεολογική προσέγγιση
Σύγχρονα ζητήματα από τη σκοπιά της επιστήμης και της θρησκείας
Ας μεταφερθούμε νοητά στο CERN της Ελβετίας, για να αποκτήσουμε μια ιδέα για το μεγαλύτερο σε
έκταση (πειραματικό) κέντρο πυρηνικών ερευνών, επί της σωματιδιακής φυσικής. Σε ομάδες ή σε δυά­
δες, ας δούμε τι γνωρίζουμε ή τι μπορούμε να αναζητήσουμε σχετικά. Στη συνέχεια, ας απαντήσουμε
στα ερωτήματα: «Ποια είναι η κεντρική ιδέα του πειράματος;», «Πώς θα την αξιολογούσαμε από επι­
στημονική και από θεολογική σκοπιά, μετά και από όσα μάθαμε;». 
Ας κάνουμε διάλογο πάνω σε αυτά, παρουσιάζοντας τις απόψεις και τα επιχειρήματά μας. 
8","Γ Λυκείου",""
"Page_10","Σελίδα 10","9
ΟΙ ΣΗΜΕΙΩΣΕΙΣ ΜΟΥ
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________
_____________________________________________________________________________","Γ Λυκείου",""
