"ID","Title","Content","Category","MediaURL"
"Page_01","Σελίδα 1","Θρησκευτικά
ΙΝΣΤΙΤΟΥΤΟ ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΕΚ∆ΟΣΕΩΝ «∆ΙΟΦΑΝΤΟΣ»
ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙ∆ΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ
ΥΠΟΥΡΓΕΙΟ ΠΑΙ∆ΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ
Ορθόδοξη πίστη
και λατρεία
                                                Α΄ ΛΥΚΕΙΟΥ","Α Λυκείου",""
"Page_02","Σελίδα 2","Βιβλίο μαθητή στα
Θρησκευτικά Α΄ Λυκείου
Ορθόδοξη πίστη και λατρεία","Α Λυκείου",""
"Page_03","Σελίδα 3","Βιβλίο μαθητή στα
Θρησκευτικά Α΄ Λυκείου
Ορθόδοξη πίστη και λατρεία
Το υλικό στα Θρησκευτικά Α΄ Λυκείου προέκυψε από το Προσωρινό Έντυπο Υλικό, «Φάκελος
Μαθήματος», της Α΄ Λυκείου «Θρησκεία και σύγχρονος άνθρωπος», που επιμελήθηκαν οι Κ.
Ακανθοπούλου, Μ. Συργιάννη, Δ. Παρθένου & Α. Χατζηδημητρίου, το Προσωρινό Έντυπο Υλι­
κό, «Φάκελος Μαθήματος», της Β΄ Λυκείου, «Θρησκεία και Κοινωνία», που επιμελήθηκαν οι
Ε. Βουλγαράκη, Σ. Γκαργκάνα και Έ. Ψαρογιώργου, το Προσωρινό Έντυπο Υλικό, «Φάκελος
Μαθήματος», της Γ΄ Λυκείου, «Θρησκεία και σύγχρονος κόσμος», που επιμελήθηκαν οι Κ.
Τριανταφυλλίδου και ο Ε. Παπαϊωάννου, το Σχολικό Βιβλίο Α΄ Λυκείου, «Ορθόδοξη πίστη και
λατρεία» των Χρ. Γκότση, π. Γ. Μεταλληνού, Γ. Φίλια και σύγχρονα δημοσιευμένα γραπτά και
πολυτροπικά κείμενα.
Δημιουργήθηκε με την ευθύνη της άμισθης Επταμελούς Επιστημονικής Επιτροπής, η οποία
συγκροτήθηκε από το ΙΕΠ στις 19/12/2019 με σκοπό:
Α) Την εισήγηση για την πλήρη συμμόρφωση των Προγραμμάτων Σπουδών του μαθήματος
των Θρησκευτικών με τις αποφάσεις του Σ.τ.Ε., για το χρονικό διάστημα που θα απαιτηθεί
μέχρι τη συγγραφή και εφαρμογή των νέων Προγραμμάτων Σπουδών, καθώς και του αντι­
στοίχου διδακτικού υλικού για το μάθημα των Θρησκευτικών.
Β) Την εισήγηση σχετικά με τους τρόπους και τις μεθόδους εφαρμογής των αποφάσεων του
Σ.τ.Ε., του ΕΔΔΑ και της ΑΠΔΠΧ, όσον αφορά στις υπόλοιπες πτυχές των αποφάσεων αυ­
τών που συνδέονται με το μάθημα των Θρησκευτικών, με έμφαση στη διατήρηση της υπο­
χρεωτικότητας του μαθήματος και στη διαδικασία απαλλαγής των μαθητών/μαθητριών.
Την ευθύνη για την επιμέλεια του παρόντος βιβλίου είχε ως μέλος της επιτροπής η Ξανθή Αλ ­
μπανάκη.
Εικονογράφηση εξωφύλλου: Μπάμπης Πυλαρινός, Innocence, 2017/Encaustic","Α Λυκείου",""
"Page_04","Σελίδα 4","ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ 
ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ
Βιβλίο μαθητή στα
Θρησκευτικά Α΄ Λυκείου
ΙΝΣΤΙΤΟΥΤΟ ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ «ΔΙΟΦΑΝΤΟΣ» 
ΑΘΗΝΑ","Α Λυκείου",""
"Page_05","Σελίδα 5","","Α Λυκείου",""
"Page_06","Σελίδα 6","ΠΕΡΙΕΧΟΜΕΝΑ
5
Θεματική Ενότητα 1 
ΟΡΘΟΔΟΞΗ ΠΙΣΤΗ ΚΑΙ ΔΙΔΑΣΚΑΛΙΑ
1.1. Ο άνθρωπος ζει με τον Θεό ....................................................
7
1.2. Η πίστη στον Τριαδικό Θεό...................................................... 13
1.3. Η μεταμορφωτική δύναμη της προσευχής στην Ορθόδοξη
χριστιανική παράδοση ............................................................ 21
1.4. Η αγιότητα στην Ορθόδοξη χριστιανική παράδοση................ 26
1.5. Η έννοια του προσώπου στη θεολογία της Ορθόδοξης
χριστιανικής παράδοσης ......................................................... 33
Θεματική Ενότητα 2 
ΤΟ ΣΩΜΑ ΤΗΣ ΕΚΚΛΗΣΙΑΣ
2.1. «Εις Μίαν, Αγίαν, Καθολικήν και Αποστολικήν…» ............................... 41
2.2. Θεία Ευχαριστία: Η ταυτότητα της Εκκλησίας ..................................... 54
2.3. Η ενότητα της εκκλησιαστικής κοινότητας .......................................... 65
2.4. Το περιεχόμενο της σωτηρίας στον Χριστιανισμό ............................... 72
Θεματική Ενότητα 3 
ΛΑΤΡΕΙΑ ΚΑΙ ΜΥΣΤΗΡΙΑ ΤΗΣ ΟΡΘΟΔΟΞΗΣ ΕΚΚΛΗΣΙΑΣ
3.1. Η λατρεία ως έκφραση πίστης............................................... 83
3.2. Οι γιορτές στην Ορθόδοξη Εκκλησία..................................... 91
3.3. Η γλώσσα της Ορθόδοξης χριστιανικής Παράδοσης............. 100
3.4. Είσοδος και ένταξη στην Εκκλησία: Το μυστήριο 
του βαπτίσματος ................................................................... 106
3.5. Το βαθύτερο νόημα του μυστηρίου του γάμου.................... 112
3.6. Μετάνοια, η υπέρβαση της αμαρτίας................................... 117
3.7. Η ιεροσύνη στην Ορθόδοξη Εκκλησία................................... 124
Θεματική Ενότητα 4 
ΔΙΑΣΤΑΣΕΙΣ ΤΗΣ ΧΡΙΣΤΙΑΝΙΚΗΣ ΔΙΔΑΣΚΑΛΙΑΣ
4.1. Χαρακτηριστικά χριστιανικού ήθους ................................................. 131
4.2. Η ελευθερία του ανθρώπου στην Ορθόδοξη χριστιανική 
ανθρωπολογία ................................................................................... 140
4.3. Η αγάπη ως πρόταση ζωής στον Χριστιανισμό.................................. 145
4.4. Η διδασκαλία της Ορθόδοξης Εκκλησίας για την ισότητα................. 153
4.5. Η θεολογική χριστιανική θεώρηση για την ευθύνη........................... 160","Α Λυκείου",""
"Page_07","Σελίδα 7","Θεματική Ενότητα 1
ΟΡΘΟΔΟΞΗ ΠΙΣΤΗ ΚΑΙ ΔΙΔΑΣΚΑΛΙΑ
1.1. Ο άνθρωπος ζει με τον Θεό
1.2. Η πίστη στον Τριαδικό Θεό
1.3. Η μεταμορφωτική δύναμη της προσευχής
στην Ορθόδοξη χριστιανική παράδοση
1.4. Η αγιότητα στην Ορθόδοξη χριστιανική
παράδοση
1.5. Η έννοια του προσώπου στη θεολογία της
Ορθόδοξης χριστιανικής παράδοσης
6","Α Λυκείου",""
"Page_08","Σελίδα 8","Θ.Ε. 1. ΟΡΘΟΔΟΞΗ ΠΙΣΤΗ ΚΑΙ ΔΙΔΑΣΚΑΛΙΑ
1.1. Ο ΑΝΘΡΩΠΟΣ ΖΕΙ ΜΕ ΤΟΝ ΘΕΟ
Ας δούμε προσεκτικά τον παρακάτω πίνακα κι ας προσπαθήσουμε να απαντήσουμε στις εξής ερωτήσεις:
– Τι βλέπετε; 
– Τι νομίζετε ότι συμβαίνει; 
– Τι αναρωτιέστε; 
Ας διαβάσουμε τα αποσπάσματα από τα παρακάτω κείμενα για την έννοια του βιώματος στον Χρι­
στιανισμό.
Στη συνέχεια ας σκεφτούμε πρώτα μόνοι μας και κατόπιν ας συζητήσουμε κι ας μοιραστούμε τη
σκέψη μας με τον/την διπλανό/ή μας για τις επιδράσεις του θρησκευτικού βιώματος. Με αφετηρία το
υλικό που θα συγκεντρώσουμε θα οργανώσουμε έναν «εννοιολογικό χάρτη» στον πίνακα της τάξης
κατηγοριοποιώντας τα αποτελέσματα και παρουσιάζοντάς τα στην τάξη.
Η Παναγιά του Βάλτου
Σαν παραμύθι χρυσών εποχών και σαν τραγούδι αδυνατισμένο στον ήχο, πλην άθιχτο στα μάτια
της ψυχής, θυμάμαι το πανηγύρι της Παναγιάς του Bάλτου […]. [Ο Παππούλης] Ήταν άνθρωπος κο­
ντούλης, πενηντάχρονος, απόφοιτος δημοτικού, αλλά πολύ θεοσεβής. Kαθώς τα ταπεινά και διακριτι­
κά αηδόνια υμνούν με το τραγούδι τους την αυγή του Θεού, τρεφόμενα με τη δικιά του μέριμνα, έτσι
7
Έκφραση εμπειρίας των μαθητών/μαθητριών για τα θρησκευτικά βιώματα των πιστών 
στη λαϊκή παράδοση και στον ευρύτερο πολιτισμό.
Δομήνικος Θεοτοκόπουλος, Η Θεραπεία του Τυφλού (περίπου 1565). 
Δρέσδη, Πινακοθήκη.
Η αλληλεπίδραση μεταξύ χριστιανικής πίστης και θρησκευτικού βιώματος.","Α Λυκείου",""
"Page_09","Σελίδα 9","κι ο Παππούλης έψελνε με ζεστή ψυχή το μεγαλείο του Θεού. Xωρίς να εννοεί τα βυζαντινά τροπάρια,
τα ’νιωθε, με τη γνώση που ’χουν οι παρθένες ψυχές, και γινόταν, αυτός ο μικρός κι ασήμαντος κι
απαίδευτος άνθρωπος, ένας χρυσόφωνος άγγελος, με ανοιγμένες τις αθέατες φτερούγες τη ψυχής
του – και τα μικρά του μάτια διαστέλλονταν, λες και γινόταν πύλες του Παραδείσου! Ω, να τον βλέπα­
τε πώς έπασχε το μεγαλοβδόμαδο, καθώς έλεγε τα εγκώμια! […] Kαι μια φορά, που ο παπα­Λάζαρος
δεν τον άφησε να πει το ευαγγέλιο της Aναστάσεως, ότι στην λειτουργία παραβρισκότανε ο δεσπότης
Aιτωλακαρνανίας Iερόθεος, και ήθελε άψογα να τηρηθεί το τυπικό, ο Παππούλης, μετά το Aνέστη,
έφυγε κρυφά και πήγε στο ιερό∙ εκεί, κατά τις μαρτυρίες του θεοσεβούς νεωκόρου Παντελή, που
εκτελούσε και χρέη τελάλη, είπε το «πεπόθηκεν ἡ ψυχή μου» και το «ἀναβαλλόμενος τὸ φῶς ὥσπερ
ἰμάτιον»∙ πετάχτηκε μετά απέναντι στο σπιτάκι του, ξεκρέμασε τον γκρα* κι έριξε τρις στον αέρα – λέ­
γοντας ισάριθμα Aληθώς ανέστη!
[…] Από τον Όρθρο περάσαμε στη λειτουργία της Xάρης Tης. Όρθιοι. Ώρες πέντε! Kουρασμένοι.
Ώρες πέντε! Το σώμα βαραίνει, τα μέλη αποσυντονίζονται... Όρθιοι! Ώρες πέντε!.. Αλλά: «Τίς ὁ περι­
συναγωγών με ὅτε ἐν ἐρήμῳ διεσπάρην; Tίς ὁ ἐκδούς με εἰς τὸ φῶς τῆς Δαμασκοῦ;». O Παππούλης
φάνηκε ανάμεσά μας κρατώντας κάνιστρο. Mας έβαλε στο χέρι μικρό αντίδωρο... Tο κομματάκι εκεί­
νο έχει τόση δύναμη, όση δεν έχουν πέντε άρτοι μαζί. Kαι αντλεί τη δύναμή του από τη δικιά μας αδυ­
ναμία: ένα τόσο δα ψωμάκι σού εξαφανίζει την κούραση πέντε ωρών! Aυτή είναι η απολαυή των πι­
στών: πάντα μικρή, πάντα λίγη – για να συμβολίζει και υπενθυμίζει, όχι να εξαργυρώνει... Όσοι πιστοί
προσέλθετε!... Εκεί, θαρρώ, είναι η λεβεντιά και η τιμιότητα της Oρθοδοξίας και της Eλλάδας: Θέλομε
και πάμε! Kαι θα πηγαίνομε, όπως πηγαίναμε στις αρχαίες θεωρίες του Παγγαίου και του Oλύμπου!
Kαι θα κυνηγάμε παντού το μικρό αντίδωρο του αγώνα μας!  
Ζούλας, Ο., Ιστορίες από τον Αστακό [διηγήματα], Δίφρος, Αθήνα 1971.
Η Θεοσκέπαστη
[...] Άξαφνα ψίθυρος σιγανότατος, ψαλμωδία κατανυκτική, φωνή ικέτις, μπερδεύοντας με τη φω­
νή της ερημίας και της θαλάσσης, έφτασε στ’ αυτιά μας. Xείλη γυναικεία έψελναν ύμνους χριστιανι­
κούς. Kάτω απ’ τα ερείπια του κάστρου των Φράγκων, η ταπεινή μελωδία της Oρθοδοξίας, βεβαίωση
της συνέχειας, τι συγκίνηση που ήταν! Σαν να μας έσεισε αγέρας βίαιος. Kάμαμε ακόμα λίγα βήματα.
Kαι τότε πρόβαλε μπρος στα μάτια μας, όραμα θαμπωτικό, αλησμόνητο για πάντα, άσπρο, πάλλευκο:
η «Θεοσκέπαστη». Πάνω απ’ τα κρεμαστά νερά, στον άγριο βράχο, πάνω απ’ το ηφαίστειο. Oι ύμνοι
τώρα έρχονται πιο καθαροί. Προχωρήσαμε, μπήκαμε στη Θεοσκέπαστη. Κατακάθαρο, γυμνό, κατάγυ­
μνο ήταν το ξωκκλήσι, καθώς όλα τα ξωκκλήσια των Ελλήνων. Mονάχα ένα ξυλόγλυπτο, παλιό, παμπά­
λαιο τέμπλο. Kαι μπρος στο Ιερό, κάτω απ’ το φαγωμένο τέμπλο, γονατισμένες πάνω στις πλάκες, με
σκυφτό κεφάλι, αποτραβηγμένες στη δέησή τους, μονάχες με τον εαυτό τους και με το Θεό, ξυπόλη­
τες, οι μαυροφορεμένες γυναίκες, που είχαμε δει από μακριά, έψελναν […]. Mας συνεπήρε κ’ εμάς το
μυστήριο, η κατάνυξη, γινήκαμε σε λίγο μαζί τους ένα, προσευχηθήκαμε κ’ εμείς για ό,τι αγαπούμε
και για τους ανθρώπους. Σαν τέλειωσε η παράκληση κ’ οι γυναίκες σηκωθήκαν απ’ τις πλάκες, ωχρές,
γαλήνη ήταν στο πρόσωπό τους πολλή. Mας τριγυρίσανε, είπαν τα δικά τους, είπαμε τα δικά μας. H
μια είχε παιδί σκοτωμένο στον πόλεμο, η άλλη έχει γιο στο στρατό, η άλλη έχει γιο που ταξιδεύει στη
θάλασσα. Kάθε χρονιά έχουνε τάμα να πάρουν βόλτα όλο το νησί, με τα πόδια, ν’ ανάψουν τα καντή­
λια στα ξωκκλήσια. Έτσι ξεκινήσανε και φέτος. Mε τα χαράματα πέσαν στο δρόμο απ’ τον Πύργο, ξυ­
πόλητες, κ’ η σκόνη σκέπαζε τα σκληρά, τυραγνισμένα πόδια τους. Tώρα, ύστερα απ’ τη χάρη της, με­
τά τη Θεοσκέπαστη, θ’ ανηφορίζαν για τ’ άλλα τα ξωκκλήσια, κατά τα δυτικά. Bγάλανε απ’ το μπογα­
λάκι τους το γιόμα τους, ψωμί σταρένιο, τις μικροσκοπικές ντομάτες της Σαντορίνης, ψαράκια της
* γκρα: τύπος πυροβόλου όπλου, δηλαδή ντουφεκιού, γαλλικής προέλευσης, πολύ διαδεδομένο μέχρι και τον Β΄
Παγκόσμιο πόλεμο.
8","Α Λυκείου",""
"Page_10","Σελίδα 10","τράτας τηγανητά. «Ήντλησαν» νερό απ’ τη μικρή στέρνα, νερό βρόχινο, μας φιλέψαν νερό και ψωμί.
Δε θέλαμε να τους το στερήσουμε που το είχαν λιγοστό – το ψωμί και το νερό. Mα επιμένανε να το
πάρουμε κοιτάζοντάς μας παρακαλεστικά μες στα μάτια, σαν να το γυρεύαν για χάρη.
«Tώρα μας ένωσε η Θεοσκέπαστη», είπαν [...]. 
Βενέζης, Η., «Η Θεοσκέπαστη» (απόσπασμα από το «Αφιέρωμα στη Σαντορίνη»). 
Νέα Εστία, τεύχ. 698 (1η Αυγούστου 1956), σ. 1031.
Η Ορθοδοξία
Γλυκό που είναι το σκοτάδι στις εικόνες των προγόνων 
άμωμα χέρια μεταληπτικά 
ρούχα που τ’ άδραξεν η γαλήνη και δε γνωρίζουν άνεμο 
βαθιά το ελέησον απ’ τους άυλους βράχους 
τα μάτια σαν καρποί ευωδάτοι. 
Κι ο ψάλτης ολόσωμος ανεβαίνει στο πλατάνι της φωνής 
καημένε κόσμε 
θυμίαμα η γαλάζια οσμή κι ο καπνός ασημένιος 
κερί να στάζει ολοένα στα παιδόπουλα 
καημένε κόσμε 
σα βγαίνουν –ω χαρά πρώτη– με το Ευαγγέλιο και με τις λαμπάδες 
κ’ ύστερα η μεγάλη χαρά να συντροφεύουν τ’ Άγια... 
Ο παπα­Γιάννης τυλιγμένος τ’ άσπρο του φελόνι 
καλός πατέρας και καλός παππούς με το σιρόκο στη γενειάδα 
χρόνια αιώνες χρόνια και νιάτα πόχει η ομορφιά!… 
Νίκος Καρούζος, «Η Ορθοδοξία», Τα Ποιήματα Α΄ (1961­1978), 
Ίκαρος, Αθήνα 21995, σ. 177.

Δουλεύοντας σε ομάδες ας προσπαθήσουμε να διερευνήσουμε εμπειρίες, βιώματα ή και δράσεις
μιας σπουδαίας θρησκευτικής προσωπικότητας από την Ορθόδοξη Εκκλησία αξιοποιώντας και τα πα­
ρακάτω κείμενα. Κατά τη διάρκεια της επεξεργασίας απαντήσετε στα παρακάτω ερωτήματα: Ποιο/τι;
Ποιος; Πού; Πότε; Πώς; Γιατί; 
Συμεών του Νέου Θεολόγου Ύμνος ΣΤ΄
9
Η τεχνολογία του
τηλεφωνικού θαλάμου,
παρωχημένη και
αχρηστευμένη πια από
την κινητή τηλεφωνία,
υπηρετεί τώρα τη λατρεία
του αιωνίου.
Τηλεφωνικός θάλαμος­
προσκυνητάρι, μια
ενδιαφέρουσα έκφραση
θρησκευτικού βιώματος. 
Φωτογραφία: Θ. Παντούλας.
Πῶς καὶ πῦρ ὑπάρχεις βλύζον, 
πῶς καὶ ὕδωρ ἦς δροσίζον, 
πῶς καὶ καίεις καὶ γλυκαίνεις, 
πῶς φθορὰν ἐξαφανίζεις; 
Πῶς θεοὺς ποιεῖς ἀνθρώπους, 
πῶς τὸ σκότος φῶς ἐργάζῃ, 
πῶς ἀνάγεις ἐκ τοῦ ᾅδου, 
πῶς θνητοὺς ἐξαφθαρτίζεις; 
Πώς είσαι και φωτιά που ξελοχίζεις, 
πώς είσαι και νερό που με δροσίζει, 
πώς κατακαίς μα και γλυκαίνεις, 
και πώς εξαφανίζεις τη φθορά; 
Πώς τους ανθρώπους κάνεις θεούς 
και το σκοτάδι φως το δείχνεις, 
πώς ανεβάζεις απ᾿ τον Άδη 
κι αθανατίζεις τους θνητούς; 
Το θρησκευτικό βίωμα στην Ορθόδοξη Εκκλησία.","Α Λυκείου",""
